"filename", "language", "Dart", "comment", "blank", "total"
"/Users/apoorvmalik/Desktop/flutter_chess/lib/config/config.dart", "Dart", 2, 0, 1, 3
"/Users/apoorvmalik/Desktop/flutter_chess/lib/config/custom_route.dart", "Dart", 16, 0, 3, 19
"/Users/apoorvmalik/Desktop/flutter_chess/lib/config/custom_router.dart", "Dart", 34, 0, 5, 39
"/Users/apoorvmalik/Desktop/flutter_chess/lib/constants.dart", "Dart", 8, 0, 2, 10
"/Users/apoorvmalik/Desktop/flutter_chess/lib/controller/base_chess_controller.dart", "Dart", 144, 8, 18, 170
"/Users/apoorvmalik/Desktop/flutter_chess/lib/controller/chess_controller.dart", "Dart", 54, 1, 16, 71
"/Users/apoorvmalik/Desktop/flutter_chess/lib/controller/controller.dart", "Dart", 3, 0, 1, 4
"/Users/apoorvmalik/Desktop/flutter_chess/lib/controller/enums.dart", "Dart", 18, 0, 2, 20
"/Users/apoorvmalik/Desktop/flutter_chess/lib/controller/movement_vector.dart", "Dart", 64, 0, 15, 79
"/Users/apoorvmalik/Desktop/flutter_chess/lib/main.dart", "Dart", 24, 0, 6, 30
"/Users/apoorvmalik/Desktop/flutter_chess/lib/screens/game/game_screen.dart", "Dart", 86, 4, 6, 96
"/Users/apoorvmalik/Desktop/flutter_chess/lib/screens/main_menu/main_menu_screen.dart", "Dart", 110, 0, 6, 116
"/Users/apoorvmalik/Desktop/flutter_chess/lib/screens/option/option_screen.dart", "Dart", 198, 4, 11, 213
"/Users/apoorvmalik/Desktop/flutter_chess/lib/screens/screens.dart", "Dart", 4, 0, 1, 5
"/Users/apoorvmalik/Desktop/flutter_chess/lib/screens/splash/splash_screen.dart", "Dart", 33, 0, 5, 38
"/Users/apoorvmalik/Desktop/flutter_chess/lib/theme.dart", "Dart", 70, 0, 2, 72
"/Users/apoorvmalik/Desktop/flutter_chess/lib/widgets/adaptive_horizontal_padding.dart", "Dart", 20, 0, 5, 25
"/Users/apoorvmalik/Desktop/flutter_chess/lib/widgets/chess_board/chess_board.dart", "Dart", 163, 8, 19, 190
"/Users/apoorvmalik/Desktop/flutter_chess/lib/widgets/chess_board/chess_board_cell.dart", "Dart", 122, 0, 10, 132
"/Users/apoorvmalik/Desktop/flutter_chess/lib/widgets/widgets.dart", "Dart", 2, 0, 1, 3
"Total", "-", 1175, 25, 135, 1335
